match_id,date,competition,home_team,away_team,home_goals,away_goals,home_rank,away_rank,home_points,away_points,rank_diff,points_diff,home_market_value_avg,away_market_value_avg,market_value_avg_diff,home_found_count,away_found_count,home_recent_win_rate,away_recent_win_rate,home_recent_goals_scored,away_recent_goals_scored,home_recent_goals_conceded,away_recent_goals_conceded,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,year,month,world_cup,match_result
4,2026-06-12,World Cup / Group Stage,Canada,Bosnia-Herzegovina,1,1,30.0,,1556.48,,,,9940000.0,5595000.0,4345000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
5,2026-06-12,World Cup / Group Stage,Qatar,Switzerland,1,1,55.0,19.0,1454.96,1649.4,-36.0,-194.44000000000005,2490000.0,12960000.0,-10470000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
6,2026-06-12,World Cup / Group Stage,Brazil,Morocco,1,1,6.0,8.0,1761.16,1755.87,2.0,5.290000000000191,63600000.0,10900000.0,52700000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
7,2026-06-12,World Cup / Group Stage,Scotland,Haiti,1,0,43.0,83.0,1498.35,1291.71,40.0,206.63999999999987,10700000.0,768750.0,9931250.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
12,2026-06-13,World Cup / Group Stage,Ivory Coast,Ecuador,1,0,34.0,23.0,1532.98,1594.78,-11.0,-61.799999999999955,13575000.0,3560000.0,10015000.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
8,2026-06-13,World Cup / Group Stage,Australia,Turkey,2,0,27.0,22.0,1580.67,1599.04,-5.0,-18.36999999999989,1155000.0,31200000.0,-30045000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
9,2026-06-13,World Cup / Group Stage,United States of America,Paraguay,4,1,,40.0,,1503.5,,,29600000.0,7560000.0,22040000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
10,2026-06-13,World Cup / Group Stage,Germany,Curaçao,7,1,10.0,82.0,1730.37,1294.65,72.0,435.7199999999998,37500000.0,395000.0,37105000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
11,2026-06-13,World Cup / Group Stage,Netherlands,Japan,2,2,7.0,18.0,1757.87,1660.43,11.0,97.43999999999983,45000000.0,17100000.0,27900000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
13,2026-06-13,World Cup / Group Stage,Sweden,Tunisia,5,1,38.0,44.0,1514.77,1483.05,6.0,31.720000000000027,40800000.0,2300000.0,38500000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
14,2026-06-14,World Cup / Group Stage,Spain,Cabo Verde,0,0,2.0,,1876.4,,,,96000000.0,675000.0,95325000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
15,2026-06-14,World Cup / Group Stage,Belgium,Egypt,1,1,9.0,29.0,1734.71,1563.24,20.0,171.47000000000003,28800000.0,20000000.0,8800000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
16,2026-06-14,World Cup / Group Stage,Saudi Arabia,Uruguay,0,0,61.0,17.0,1421.43,1673.07,-44.0,-251.63999999999987,1468750.0,37600000.0,-36131250.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
19,2026-06-15,World Cup / Group Stage,Portugal,Uzbekistan,5,0,5.0,50.0,1763.83,1465.34,45.0,298.49,47800000.0,2800000.0,45000000.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
18,2026-06-15,World Cup / Group Stage,Norway,Senegal,1,4,31.0,14.0,1550.94,1688.99,-17.0,-138.04999999999995,59875000.0,13820000.0,46055000.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,0
17,2026-06-15,World Cup / Group Stage,France,Iraq,3,0,1.0,57.0,1877.32,1447.14,56.0,430.17999999999984,74200000.0,450000.0,73750000.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
20,2026-06-15,World Cup / Group Stage,England,Ghana,0,0,4.0,74.0,1825.97,1346.31,70.0,479.6600000000001,89000000.0,18950000.0,70050000.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
21,2026-06-20,World Cup / Group Stage,Netherlands,Sweden,5,1,7.0,38.0,1757.87,1514.77,31.0,243.0999999999999,45000000.0,40800000.0,4200000.0,5,5,0.0,1.0,2.0,5.0,2.0,1.0,0,0,0,0,2026,6,2,2
22,2026-06-20,World Cup / Group Stage,Germany,Ivory Coast,2,1,10.0,34.0,1730.37,1532.98,24.0,197.38999999999987,57500000.0,13575000.0,43925000.0,5,4,1.0,1.0,7.0,1.0,1.0,0.0,0,0,0,0,2026,6,2,2
23,2026-06-20,World Cup / Group Stage,Ecuador,Curaçao,0,0,23.0,82.0,1594.78,1294.65,59.0,300.1299999999999,3560000.0,395000.0,3165000.0,5,5,0.0,0.0,0.0,1.0,1.0,7.0,0,0,0,0,2026,6,2,1
26,2026-06-21,World Cup / Group Stage,Belgium,Iran,0,0,9.0,21.0,1734.71,1615.3,12.0,119.41000000000008,28800000.0,20000000.0,8800000.0,5,5,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,2026,6,2,1
27,2026-06-21,World Cup / Group Stage,Uruguay,Cabo Verde,2,2,17.0,,1673.07,,,,37600000.0,675000.0,36925000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
25,2026-06-21,World Cup / Group Stage,Spain,Saudi Arabia,4,0,2.0,61.0,1876.4,1421.43,59.0,454.97,96000000.0,1468750.0,94531250.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
24,2026-06-21,World Cup / Group Stage,Tunisia,Japan,0,4,44.0,18.0,1483.05,1660.43,-26.0,-177.3800000000001,2300000.0,17100000.0,-14800000.0,5,5,0.0,0.0,1.0,2.0,5.0,2.0,0,0,0,0,2026,6,2,0
28,2026-06-22,World Cup / Group Stage,New Zealand,Egypt,1,3,85.0,29.0,1281.57,1563.24,-56.0,-281.6700000000001,1475000.0,20000000.0,-18525000.0,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,2026,6,2,0
29,2026-06-22,World Cup / Group Stage,Argentina,Austria,2,0,3.0,24.0,1874.81,1593.45,21.0,281.3599999999999,56000000.0,16300000.0,39700000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
30,2026-06-22,World Cup / Group Stage,France,Iraq,3,0,1.0,57.0,1877.32,1447.14,56.0,430.17999999999984,74200000.0,450000.0,73750000.0,5,3,1.0,0.0,3.0,0.0,0.0,3.0,1,0,0,3,2026,6,2,2
31,2026-06-23,World Cup / Group Stage,Norway,Senegal,3,2,31.0,14.0,1550.94,1688.99,-17.0,-138.04999999999995,59875000.0,13820000.0,46055000.0,4,5,0.0,1.0,1.0,4.0,4.0,1.0,0,1,0,-3,2026,6,2,2
32,2026-06-23,World Cup / Group Stage,Jordan,Algeria,1,2,63.0,28.0,1391.45,1564.26,-35.0,-172.80999999999995,208333.33333333334,5020000.0,-4811666.666666667,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,0
33,2026-06-23,World Cup / Group Stage,Portugal,Uzbekistan,5,0,5.0,50.0,1763.83,1465.34,45.0,298.49,47800000.0,2800000.0,45000000.0,5,4,1.0,0.0,5.0,0.0,0.0,5.0,1,0,0,5,2026,6,2,2
34,2026-06-23,World Cup / Group Stage,England,Ghana,0,0,4.0,74.0,1825.97,1346.31,70.0,479.6600000000001,89000000.0,18950000.0,70050000.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2026,6,2,1
39,2026-06-24,World Cup / Group Stage,Morocco,Haiti,4,2,8.0,83.0,1755.87,1291.71,75.0,464.15999999999985,10900000.0,768750.0,10131250.0,5,4,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,2026,6,2,2
35,2026-06-24,World Cup / Group Stage,Panama,Croatia,0,1,33.0,11.0,1540.64,1717.07,-22.0,-176.42999999999984,1265000.0,7000000.0,-5735000.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,0
36,2026-06-24,World Cup / Group Stage,Colombia,DR Congo,1,0,13.0,46.0,1693.09,1478.35,33.0,214.74,20890000.0,7340000.0,13550000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
37,2026-06-24,World Cup / Group Stage,Bosnia and Herzegovina,Qatar,3,1,,55.0,,1454.96,,,5595000.0,2490000.0,3105000.0,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,2026,6,2,2
38,2026-06-24,World Cup / Group Stage,Switzerland,Canada,2,1,19.0,30.0,1649.4,1556.48,11.0,92.92000000000007,12960000.0,9940000.0,3020000.0,5,5,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,2026,6,2,2
40,2026-06-24,World Cup / Group Stage,Scotland,Brazil,0,3,43.0,6.0,1498.35,1761.16,-37.0,-262.8100000000002,10700000.0,63600000.0,-52900000.0,5,5,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,2026,6,2,0
44,2026-06-25,World Cup / Group Stage,Ecuador,Germany,2,1,23.0,10.0,1594.78,1730.37,-13.0,-135.58999999999992,3560000.0,57500000.0,-53940000.0,5,5,0.0,1.0,0.0,4.5,0.5,1.0,0,0,0,0,2026,6,2,2
45,2026-06-25,World Cup / Group Stage,Japan,Sweden,1,1,18.0,38.0,1660.43,1514.77,20.0,145.66000000000008,17100000.0,40800000.0,-23700000.0,5,5,0.5,0.5,3.0,3.0,1.0,3.0,0,0,0,0,2026,6,2,1
42,2026-06-25,World Cup / Group Stage,South Africa,South Korea,1,0,60.0,25.0,1429.73,1588.66,-35.0,-158.93000000000006,1130000.0,0.0,1130000.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
43,2026-06-25,World Cup / Group Stage,Curaçao,Ivory Coast,0,2,82.0,34.0,1294.65,1532.98,-48.0,-238.32999999999993,395000.0,13575000.0,-13180000.0,5,4,0.0,0.5,0.5,1.0,3.5,1.0,0,0,0,0,2026,6,2,0
46,2026-06-25,World Cup / Group Stage,Tunisia,Netherlands,1,3,44.0,7.0,1483.05,1757.87,-37.0,-274.81999999999994,2300000.0,45000000.0,-42700000.0,5,5,0.0,0.5,0.5,3.5,4.5,1.5,0,0,0,0,2026,6,2,0
41,2026-06-25,World Cup / Group Stage,Czech Republic,Mexico,0,3,,15.0,,1681.03,,,9800000.0,7860000.0,1940000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,0
49,2026-06-26,World Cup / Group Stage,Norway,France,1,4,31.0,1.0,1550.94,1877.32,-30.0,-326.3799999999999,59875000.0,74200000.0,-14325000.0,4,5,0.5,1.0,2.0,3.0,3.0,0.0,0,0,0,0,2026,6,2,0
50,2026-06-26,World Cup / Group Stage,Senegal,Iraq,5,0,14.0,57.0,1688.99,1447.14,43.0,241.8499999999999,13820000.0,450000.0,13370000.0,5,3,0.5,0.0,3.0,0.0,2.0,3.0,0,0,0,0,2026,6,2,2
51,2026-06-26,World Cup / Group Stage,Cabo Verde,Saudi Arabia,0,0,,61.0,,1421.43,,,675000.0,1468750.0,-793750.0,5,4,0.0,0.0,1.0,0.0,1.0,2.0,0,0,0,0,2026,6,2,1
48,2026-06-26,World Cup / Group Stage,Turkey,United States of America,3,2,22.0,,1599.04,,,,31200000.0,29600000.0,1600000.0,5,5,0.0,1.0,0.0,4.0,2.0,1.0,0,0,0,0,2026,6,2,2
52,2026-06-26,World Cup / Group Stage,Uruguay,Spain,0,1,17.0,2.0,1673.07,1876.4,-15.0,-203.33000000000015,37600000.0,96000000.0,-58400000.0,5,5,0.0,0.5,1.0,2.0,1.0,0.0,0,0,0,0,2026,6,2,0
47,2026-06-26,World Cup / Group Stage,Paraguay,Australia,0,0,40.0,27.0,1503.5,1580.67,-13.0,-77.17000000000007,7560000.0,1155000.0,6405000.0,5,5,0.0,1.0,1.0,2.0,4.0,0.0,0,0,0,0,2026,6,2,1
53,2026-06-27,World Cup / Group Stage,Croatia,Ghana,2,1,11.0,74.0,1717.07,1346.31,63.0,370.76,7000000.0,18950000.0,-11950000.0,4,4,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
54,2026-06-27,World Cup / Group Stage,Panama,England,0,2,33.0,4.0,1540.64,1825.97,-29.0,-285.3299999999999,1265000.0,89000000.0,-87735000.0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,2026,6,2,0
55,2026-06-27,World Cup / Group Stage,Colombia,DR Congo,1,0,13.0,46.0,1693.09,1478.35,33.0,214.74,20890000.0,7340000.0,13550000.0,5,5,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,2026,6,2,2
56,2026-06-27,World Cup / Group Stage,Bosnia and Herzegovina,Qatar,3,1,,55.0,,1454.96,,,5595000.0,2490000.0,3105000.0,5,5,1.0,0.0,3.0,1.0,1.0,2.0,1,0,0,2,2026,6,2,2
57,2026-06-27,World Cup / Group Stage,Switzerland,Canada,2,1,19.0,30.0,1649.4,1556.48,11.0,92.92000000000007,12960000.0,9940000.0,3020000.0,5,5,0.5,0.0,1.5,1.0,1.0,1.5,1,0,0,1,2026,6,2,2
58,2026-06-27,World Cup / Group Stage,Morocco,Haiti,4,2,8.0,83.0,1755.87,1291.71,75.0,464.15999999999985,10900000.0,768750.0,10131250.0,5,4,0.5,0.0,2.5,1.0,1.5,2.5,1,0,0,2,2026,6,2,2
59,2026-06-27,World Cup / Group Stage,Scotland,Brazil,0,3,43.0,6.0,1498.35,1761.16,-37.0,-262.8100000000002,10700000.0,63600000.0,-52900000.0,5,5,0.5,0.5,0.5,2.0,1.5,0.5,0,1,0,-3,2026,6,2,0
63,2026-06-28,World Cup / Group Stage,Jordan,Argentina,1,3,63.0,3.0,1391.45,1874.81,-60.0,-483.3599999999999,208333.33333333334,56000000.0,-55791666.666666664,3,5,0.0,1.0,1.0,2.0,2.0,0.0,0,0,0,0,2026,6,2,0
60,2026-06-28,World Cup / Group Stage,Colombia,Portugal,0,0,13.0,5.0,1693.09,1763.83,-8.0,-70.74000000000001,20890000.0,47800000.0,-26910000.0,5,5,1.0,1.0,1.0,5.0,0.0,0.0,0,0,0,0,2026,6,2,1
61,2026-06-28,World Cup / Group Stage,DR Congo,Uzbekistan,3,1,46.0,50.0,1478.35,1465.34,4.0,13.009999999999991,7340000.0,2800000.0,4540000.0,5,4,0.0,0.0,0.0,0.0,1.0,5.0,0,0,0,0,2026,6,2,2
62,2026-06-28,World Cup / Group Stage,Algeria,Austria,3,3,28.0,24.0,1564.26,1593.45,-4.0,-29.190000000000055,5020000.0,16300000.0,-11280000.0,5,5,1.0,0.0,2.0,0.0,1.0,2.0,0,0,0,0,2026,6,2,1
64,2026-06-28,World Cup / Group Stage,South Africa,Canada,0,1,60.0,30.0,1429.73,1556.48,-30.0,-126.75,1130000.0,9940000.0,-8810000.0,5,5,1.0,0.0,1.0,1.0,0.0,1.6666666666666667,0,0,0,0,2026,6,2,0
66,2026-06-29,Round of 32,Netherlands,Morocco,1,1,7.0,8.0,1757.87,1755.87,1.0,2.0,45000000.0,10900000.0,34100000.0,5,5,0.6666666666666666,0.6666666666666666,3.3333333333333335,3.0,1.3333333333333333,1.6666666666666667,0,0,0,0,2026,6,1,1
65,2026-06-29,Round of 32,Germany,Paraguay,1,1,10.0,40.0,1730.37,1503.5,30.0,226.8699999999999,57500000.0,7560000.0,49940000.0,5,5,0.6666666666666666,0.0,3.3333333333333335,0.5,1.3333333333333333,2.0,0,0,0,0,2026,6,1,1
68,2026-06-30,Round of 32,France,Sweden,3,0,1.0,38.0,1877.32,1514.77,37.0,362.54999999999995,74200000.0,40800000.0,33400000.0,5,5,1.0,0.3333333333333333,3.3333333333333335,2.3333333333333335,0.3333333333333333,2.3333333333333335,0,0,0,0,2026,6,1,2
67,2026-06-30,Round of 32,Ivory Coast,Norway,1,2,34.0,31.0,1532.98,1550.94,-3.0,-17.960000000000036,13575000.0,59875000.0,-46300000.0,4,4,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.3333333333333335,0,0,0,0,2026,6,1,0
69,2026-07-02,Round of 32,Spain,Austria,3,0,2.0,24.0,1876.4,1593.45,22.0,282.95000000000005,96000000.0,16300000.0,79700000.0,5,5,0.6666666666666666,0.0,1.6666666666666667,1.5,0.0,2.5,0,0,0,0,2026,7,1,2
70,2026-07-02,Round of 32,Portugal,Croatia,2,1,5.0,11.0,1763.83,1717.07,6.0,46.75999999999999,47800000.0,7000000.0,40800000.0,5,4,0.6666666666666666,1.0,3.3333333333333335,1.5,0.0,0.5,0,0,0,0,2026,7,1,2
71,2026-07-02,Round of 32,Switzerland,Algeria,2,0,19.0,28.0,1649.4,1564.26,9.0,85.1400000000001,12960000.0,5020000.0,7940000.0,5,5,0.6666666666666666,0.5,1.6666666666666667,2.5,1.0,2.0,0,0,0,0,2026,7,1,2
81,2026-07-03,Round of 32,Colombia,Ghana,1,0,13.0,74.0,1693.09,1346.31,61.0,346.78,20890000.0,18950000.0,1940000.0,5,4,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0,0,0,0,2026,7,1,2
72,2026-07-03,Round of 32,Australia,Egypt,1,1,27.0,29.0,1580.67,1563.24,2.0,17.430000000000064,1155000.0,20000000.0,-18845000.0,5,5,0.5,0.5,1.0,2.0,0.0,1.0,0,0,0,0,2026,7,1,1
73,2026-07-03,Round of 32,Argentina,Cabo Verde,3,2,3.0,,1874.81,,,,56000000.0,675000.0,55325000.0,5,5,1.0,0.0,2.5,0.6666666666666666,0.5,0.6666666666666666,0,0,0,0,2026,7,1,2
74,2026-07-03,Round of 32,Colombia,Ghana,1,0,13.0,74.0,1693.09,1346.31,61.0,346.78,20890000.0,18950000.0,1940000.0,5,4,0.75,0.0,0.75,0.25,0.0,0.75,1,0,0,1,2026,7,1,2
80,2026-07-03,Round of 32,Argentina,Cabo Verde,3,2,3.0,,1874.81,,,,56000000.0,675000.0,55325000.0,5,5,1.0,0.0,2.6666666666666665,1.0,1.0,1.25,1,0,0,1,2026,7,1,2
82,2026-07-04,Round of 16,Canada,Morocco,0,3,30.0,8.0,1556.48,1755.87,-22.0,-199.38999999999987,9940000.0,10900000.0,-960000.0,5,5,0.25,0.5,1.0,2.5,1.25,1.5,0,0,0,0,2026,7,1,0
83,2026-07-04,Round of 16,Paraguay,France,0,1,40.0,1.0,1503.5,1877.32,-39.0,-373.81999999999994,7560000.0,74200000.0,-66640000.0,5,5,0.0,1.0,0.6666666666666666,3.25,1.6666666666666667,0.25,0,0,0,0,2026,7,1,0
75,2026-07-04,Round of 16,Canada,Morocco,0,3,30.0,8.0,1556.48,1755.87,-22.0,-199.38999999999987,9940000.0,10900000.0,-960000.0,5,5,0.2,0.6,0.8,2.6,1.6,1.2,0,1,0,-3,2026,7,1,0
76,2026-07-04,Round of 16,Paraguay,France,0,1,40.0,1.0,1503.5,1877.32,-39.0,-373.81999999999994,7560000.0,74200000.0,-66640000.0,5,5,0.0,1.0,0.5,2.8,1.5,0.2,0,1,0,-1,2026,7,1,0
84,2026-07-05,Round of 16,Brazil,Norway,1,2,6.0,31.0,1761.16,1550.94,25.0,210.22000000000003,63600000.0,59875000.0,3725000.0,5,4,0.6666666666666666,0.5,2.3333333333333335,1.75,0.3333333333333333,2.75,0,0,0,0,2026,7,1,0
77,2026-07-05,Round of 16,Brazil,Norway,1,2,6.0,31.0,1761.16,1550.94,25.0,210.22000000000003,63600000.0,59875000.0,3725000.0,5,4,0.5,0.6,2.0,1.8,0.75,2.4,0,1,0,-1,2026,7,1,0
78,2026-07-05,Round of 16,Mexico,England,2,3,15.0,4.0,1681.03,1825.97,-11.0,-144.94000000000005,7860000.0,89000000.0,-81140000.0,5,5,1.0,0.3333333333333333,3.0,0.6666666666666666,0.0,0.0,0,0,0,0,2026,7,1,0
85,2026-07-05,Round of 16,Mexico,England,2,3,15.0,4.0,1681.03,1825.97,-11.0,-144.94000000000005,7860000.0,89000000.0,-81140000.0,5,5,0.5,0.5,2.5,1.25,1.5,0.5,0,1,0,-1,2026,7,1,0
86,2026-07-06,Round of 16,Portugal,Spain,0,1,5.0,2.0,1763.83,1876.4,-3.0,-112.57000000000016,47800000.0,96000000.0,-48200000.0,5,5,0.75,0.75,3.0,2.0,0.25,0.0,0,0,0,0,2026,7,1,0
87,2026-07-06,Round of 16,United States of America,Belgium,1,4,,9.0,,1734.71,,,29600000.0,28800000.0,800000.0,5,5,0.5,0.0,3.0,0.5,2.0,0.5,0,0,0,0,2026,7,1,0
94,2026-07-06,Round of 16,United States of America,Belgium,1,4,,9.0,,1734.71,,,29600000.0,28800000.0,800000.0,5,5,0.3333333333333333,0.3333333333333333,2.3333333333333335,1.6666666666666667,2.6666666666666665,0.6666666666666666,0,1,0,-3,2026,7,1,0
93,2026-07-06,Round of 16,Portugal,Spain,0,1,5.0,2.0,1763.83,1876.4,-3.0,-112.57000000000016,47800000.0,96000000.0,-48200000.0,5,5,0.6,0.8,2.4,1.8,0.4,0.0,0,1,0,-1,2026,7,1,0
1,2026-07-06,World Cup / Round of 16,Mexico,England,2,3,15.0,4.0,1681.03,1825.97,-11.0,-144.94000000000005,12000000.0,70000000.0,-58000000.0,5,5,0.3333333333333333,0.6,2.3333333333333335,1.6,2.0,0.8,0,2,0,-2,2026,7,2,0
2,2026-07-06,World Cup / Round of 16,Portugal,Spain,0,1,5.0,2.0,1763.83,1876.4,-3.0,-112.57000000000016,37400000.0,42000000.0,-4600000.0,5,5,0.4,1.0,1.4,2.0,0.6,0.0,0,2,0,-2,2026,7,2,0
79,2026-07-06,Round of 16,Portugal,Spain,0,1,5.0,2.0,1763.83,1876.4,-3.0,-112.57000000000016,47800000.0,96000000.0,-48200000.0,5,5,0.2,1.0,0.4,1.4,0.8,0.0,0,3,0,-3,2026,7,1,0
95,2026-07-07,World Cup / Round of 16,Argentina,Egypt,3,2,3.0,29.0,1874.81,1563.24,26.0,311.56999999999994,56000000.0,20000000.0,36000000.0,5,5,1.0,0.3333333333333333,2.75,1.6666666666666667,1.25,1.0,0,0,0,0,2026,7,2,2
88,2026-07-07,Round of 16,Argentina,Egypt,3,2,3.0,29.0,1874.81,1563.24,26.0,311.56999999999994,56000000.0,20000000.0,36000000.0,5,5,1.0,0.25,2.8,1.75,1.4,1.5,1,0,0,1,2026,7,1,2
89,2026-07-07,Round of 16,Switzerland,Colombia,0,0,19.0,13.0,1649.4,1693.09,-6.0,-43.68999999999983,12960000.0,20890000.0,-7930000.0,5,5,0.75,0.8,1.75,0.8,0.75,0.0,0,0,0,0,2026,7,1,1
3,2026-07-07,World Cup / Round of 16,Argentina,Egypt,3,2,3.0,29.0,1874.81,1563.24,26.0,311.56999999999994,72000000.0,25700000.0,46300000.0,5,5,1.0,0.2,3.0,1.8,1.8,1.8,2,0,0,2,2026,7,2,2
96,2026-07-07,World Cup / Round of 16,Switzerland,Colombia,0,0,19.0,13.0,1649.4,1693.09,-6.0,-43.68999999999983,12960000.0,20890000.0,-7930000.0,5,5,0.6,0.6,1.4,0.6,0.6,0.0,0,0,1,0,2026,7,2,1
90,2026-07-09,Quarter-final,France,Morocco,2,0,1.0,8.0,1877.32,1755.87,7.0,121.45000000000005,74200000.0,10900000.0,63300000.0,5,5,1.0,0.8,2.4,3.0,0.2,1.0,0,0,0,0,2026,7,1,2
97,2026-07-09,World Cup / Quarter-final,France,Morocco,2,0,1.0,8.0,1877.32,1755.87,7.0,121.45000000000005,74200000.0,10900000.0,63300000.0,5,5,1.0,0.6,2.2,2.2,0.2,1.0,1,0,0,2,2026,7,2,2
91,2026-07-10,Quarter-final,Spain,Belgium,2,1,2.0,9.0,1876.4,1734.71,7.0,141.69000000000005,96000000.0,28800000.0,67200000.0,5,5,1.0,0.5,1.4,2.25,0.0,0.75,0,0,0,0,2026,7,1,2
98,2026-07-10,World Cup / Quarter-final,Spain,Belgium,2,1,2.0,9.0,1876.4,1734.71,7.0,141.69000000000005,96000000.0,28800000.0,67200000.0,5,5,1.0,0.4,1.2,2.0,0.2,1.0,1,0,0,1,2026,7,2,2
92,2026-07-11,Quarter-final,Norway,England,1,2,31.0,4.0,1550.94,1825.97,-27.0,-275.03,59875000.0,89000000.0,-29125000.0,4,5,0.8,0.8,2.0,2.2,1.8,1.2,0,0,0,0,2026,7,1,0
99,2026-07-11,World Cup / Quarter-final,Norway,England,1,2,31.0,4.0,1550.94,1825.97,-27.0,-275.03,59875000.0,89000000.0,-29125000.0,4,5,0.6,1.0,1.6,2.6,1.8,1.4,0,1,0,-1,2026,7,2,0
100,2026-07-12,World Cup / Quarter-final,Argentina,Switzerland,3,1,3.0,19.0,1874.81,1649.4,16.0,225.40999999999985,56000000.0,12960000.0,43040000.0,5,5,1.0,0.6,3.0,1.2,2.0,0.4,0,0,0,0,2026,7,2,2
101,2026-07-14,World Cup / Semi-final,France,Spain,0,2,1.0,2.0,1877.32,1876.4,1.0,0.9199999999998454,74200000.0,96000000.0,-21800000.0,5,5,1.0,1.0,1.8,1.4,0.0,0.4,0,0,0,0,2026,7,2,0
102,2026-07-15,World Cup / Semi-final,England,Argentina,1,2,4.0,3.0,1825.97,1874.81,-1.0,-48.83999999999992,89000000.0,56000000.0,33000000.0,5,5,1.0,1.0,2.6,3.0,1.6,1.8,0,0,0,0,2026,7,2,0
103,2026-07-18,World Cup / Third Place,England,France,6,4,4.0,1.0,1825.97,1877.32,-3.0,-51.34999999999991,89000000.0,74200000.0,14800000.0,5,5,0.8,0.8,2.2,1.2,1.6,0.4,0,0,0,0,2026,7,2,2
104,2026-07-19,World Cup / Final,Spain,Argentina,1,0,2.0,3.0,1876.4,1874.81,1.0,1.5900000000001455,96000000.0,56000000.0,40000000.0,5,5,1.0,1.0,1.6,2.8,0.4,1.6,0,0,0,0,2026,7,2,2
