date,competition,home_team,away_team
2026-06-11,FIFA World Cup 2026,Mexico,South Africa
2026-06-11,FIFA World Cup 2026,Korea Republic,Czechia

2026-06-12,FIFA World Cup 2026,Canada,Bosnia and Herzegovina
2026-06-12,FIFA World Cup 2026,USA,Paraguay

2026-06-13,FIFA World Cup 2026,Qatar,Switzerland
2026-06-13,FIFA World Cup 2026,Brazil,Morocco
2026-06-13,FIFA World Cup 2026,Haiti,Scotland
2026-06-13,FIFA World Cup 2026,Australia,Türkiye

2026-06-14,FIFA World Cup 2026,Germany,Curaçao
2026-06-14,FIFA World Cup 2026,Côte d'Ivoire,Ecuador
2026-06-14,FIFA World Cup 2026,Netherlands,Japan
2026-06-14,FIFA World Cup 2026,Sweden,Tunisia

2026-06-15,FIFA World Cup 2026,Belgium,Egypt
2026-06-15,FIFA World Cup 2026,IR Iran,New Zealand
2026-06-15,FIFA World Cup 2026,Spain,Cabo Verde
2026-06-15,FIFA World Cup 2026,Saudi Arabia,Uruguay

2026-06-16,FIFA World Cup 2026,France,Senegal
2026-06-16,FIFA World Cup 2026,Iraq,Norway
2026-06-16,FIFA World Cup 2026,Argentina,Algeria
2026-06-16,FIFA World Cup 2026,Austria,Jordan

2026-06-17,FIFA World Cup 2026,Portugal,Congo DR
2026-06-17,FIFA World Cup 2026,Uzbekistan,Colombia
2026-06-17,FIFA World Cup 2026,England,Croatia
2026-06-17,FIFA World Cup 2026,Ghana,Panama

2026-06-18,FIFA World Cup 2026,Czechia,South Africa
2026-06-18,FIFA World Cup 2026,Mexico,Korea Republic

2026-06-19,FIFA World Cup 2026,Switzerland,Bosnia and Herzegovina
2026-06-19,FIFA World Cup 2026,Canada,Qatar

2026-06-20,FIFA World Cup 2026,Scotland,Morocco
2026-06-20,FIFA World Cup 2026,Brazil,Haiti
2026-06-20,FIFA World Cup 2026,USA,Australia
2026-06-20,FIFA World Cup 2026,Türkiye,Paraguay

2026-06-21,FIFA World Cup 2026,Germany,Côte d'Ivoire
2026-06-21,FIFA World Cup 2026,Ecuador,Curaçao
2026-06-21,FIFA World Cup 2026,Netherlands,Sweden
2026-06-21,FIFA World Cup 2026,Tunisia,Japan

2026-06-22,FIFA World Cup 2026,Belgium,IR Iran
2026-06-22,FIFA World Cup 2026,New Zealand,Egypt
2026-06-22,FIFA World Cup 2026,Spain,Saudi Arabia
2026-06-22,FIFA World Cup 2026,Uruguay,Cabo Verde

2026-06-23,FIFA World Cup 2026,France,Iraq
2026-06-23,FIFA World Cup 2026,Norway,Senegal
2026-06-23,FIFA World Cup 2026,Argentina,Austria
2026-06-23,FIFA World Cup 2026,Jordan,Algeria

2026-06-24,FIFA World Cup 2026,Portugal,Uzbekistan
2026-06-24,FIFA World Cup 2026,Colombia,Congo DR
2026-06-24,FIFA World Cup 2026,England,Ghana
2026-06-24,FIFA World Cup 2026,Panama,Croatia

2026-06-26,FIFA World Cup 2026,Czechia,Mexico
2026-06-26,FIFA World Cup 2026,South Africa,Korea Republic
2026-06-26,FIFA World Cup 2026,Switzerland,Canada
2026-06-26,FIFA World Cup 2026,Bosnia and Herzegovina,Qatar

2026-06-27,FIFA World Cup 2026,Scotland,Brazil
2026-06-27,FIFA World Cup 2026,Morocco,Haiti
2026-06-27,FIFA World Cup 2026,Türkiye,USA
2026-06-27,FIFA World Cup 2026,Paraguay,Australia
2026-06-27,FIFA World Cup 2026,Curaçao,Côte d'Ivoire
2026-06-27,FIFA World Cup 2026,Ecuador,Germany
2026-06-27,FIFA World Cup 2026,Japan,Sweden
2026-06-27,FIFA World Cup 2026,Tunisia,Netherlands

2026-06-28,FIFA World Cup 2026,Egypt,IR Iran
2026-06-28,FIFA World Cup 2026,New Zealand,Belgium
2026-06-28,FIFA World Cup 2026,Cabo Verde,Saudi Arabia
2026-06-28,FIFA World Cup 2026,Uruguay,Spain
2026-06-28,FIFA World Cup 2026,Norway,France
2026-06-28,FIFA World Cup 2026,Senegal,Iraq
2026-06-28,FIFA World Cup 2026,Algeria,Austria
2026-06-28,FIFA World Cup 2026,Jordan,Argentina
2026-06-28,FIFA World Cup 2026,Colombia,Portugal
2026-06-28,FIFA World Cup 2026,Congo DR,Uzbekistan
2026-06-28,FIFA World Cup 2026,Panama,England
2026-06-28,FIFA World Cup 2026,Croatia,Ghana